Gene_accession no.	Class	Phenotype	PMID	Mechanism of resistance	Notes	Required_gene
erm(X)_3_U21300	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	8559800	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
erm(X)_4_NC_005206	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	14576111	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
erm(Y)_1_AB014481	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	11751136	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
erm(Z)_1_AM709783	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	18048924	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
erm(30)_1_AF079138	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	9770448	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
erm(31)_1_AF079138	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	9770448	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
erm(32)_1_AJ009971	Lincosamide, Macrolide, Streptogramin B	Oleandomycin, Spiramycin, Tylosin	10348045	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
erm(34)_1_AY234334	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	14711653	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
erm(35)_1_AF319779	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	Unpublished	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
erm(36)_1_AF462611	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	12177341	Target modification	23S rRNA methylase; Inducible MLSb phenotype, curated	
erm(38)_1_AY154657	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Telithromycin	14506008	Target modification	23S rRNA methylase; Natural in different Mycobacterium sp., curated	
erm(39)_1_AY487229	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Telithromycin	15590712	Target modification	23S rRNA methylase; Natural in different Mycobacterium sp., curated	
erm(40)_1_AY570506	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Telithromycin	17005837	Target modification	23S rRNA methylase; Natural in different Mycobacterium sp., curated	
erm(41)_1_EU177504	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Telithromycin	19171799	Target modification	23S rRNA methylase; Natural in different Mycobacterium sp., curated	
erm(42)_1_FR734406	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	21402855	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
erm(42)_2_AB601890	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	Unpublished	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
mef(A)_3_AF227520	Macrolide	Azithromycin, Erythromycin	10952626, 27786586	Increased efflux	MFS transporter, curated	
mef(A)_4_HG423652	Macrolide	Azithromycin, Erythromycin	24343896, 27786586	Increased efflux	Alternative name mef(G), curated	
mef(B)_1_FJ196385	Macrolide	Azithromycin, Erythromycin	19131424, 27786586	Increased efflux	MFS transporter, curated	
msr(A)_1_X52085	Macrolide, Streptogramin B	Azithromycin, Erythromycin, Pristinamycin IA, Quinupristin, Telithromycin, Virginiamycin S	2233255, 27006457, 27786586	Target protection	ABC transporter, curated	
msr(A)_2_AB013298	Macrolide, Streptogramin B	Azithromycin, Erythromycin, Pristinamycin IA, Quinupristin, Telithromycin, Virginiamycin S	27006457, 27786586, 9809423	Target protection	ABC transporter, curated	
msr(C)_1_AY004350	Macrolide, Streptogramin B	Erythromycin, Pristinamycin IA, Quinupristin, Telithromycin, Virginiamycin S	11120975, 27006457	Target protection	ABC transporter, curated	
msr(C)_2_AF313494	Macrolide, Streptogramin B	Erythromycin, Pristinamycin IA, Quinupristin, Telithromycin, Virginiamycin S	11120975, 27006457	Target protection	ABC transporter, curated	
msr(D)_2_AF274302	Macrolide, Streptogramin B	Azithromycin, Erythromycin, Pristinamycin IA, Quinupristin, Telithromycin, Virginiamycin S	11398110, 26531240, 27006457, 27786586	Target protection	ABC transporter, curated	
msr(D)_3_AF227520	Macrolide, Streptogramin B	Azithromycin, Erythromycin, Pristinamycin IA, Quinupristin, Telithromycin, Virginiamycin S	10952626, 26531240, 27006457, 27786586	Target protection	ABC transporter, curated	
msr(E)_1_FR751518					ongoing curation	
car(A)_1_M80346	Macrolide	Carbomycin	1612454	Increased efflux	ABC transporter; likely resistance to other 16-membered macrolides, curated	
lmr(A)_1_X59926	Lincosamide	Lincomycin	8577249	Increased efflux	MFS transporter, curated	
ole(B)_1_L36601	Macrolide	Oleandomycin	27006457, Unpublished	Target protection	ABC transporter, curated	
ole(C)_1_L06249	Macrolide	Oleandomycin	27006457, 8326867	Target protection	ABC transporter, curated	
srm(B)_1_X63451	Macrolide	Spiramycin	1508047, 27006457	Target protection	ABC transporter, curated	
tlr(C)_1_M57437	Macrolide	Tylosin	1864505, 27006457	Target protection	ABC transporter; likely resistance to other 16-membered macrolides, curated	
lsa(B)_1_AJ579365	Lincosamide, Streptogramin A	Clindamycin, Dalfopristin, Lincomycin, Pristinamycin IIA, Virginiamycin M	15471995, 27006457	Target protection	ABC transporter, curated	
lsa(C)_1_HM990671	Lincosamide, Pleuromutilin, Streptogramin A	Clindamycin, Dalfopristin, Lincomycin, Pristinamycin IIA, Tiamulin, Virginiamycin M	21245447, 27006457	Target protection	ABC transporter, curated	
vga(A)_1_M90056	Lincosamide, Pleuromutilin, Streptogramin A	Dalfopristin, Lincomycin, Pristinamycin IIA, Tiamulin, Virginiamycin M	15728891, 1644314, 18838584, 27006457	Target protection	ABC transporter, curated	
vga(A)_2_FN546261	Lincosamide, Pleuromutilin, Streptogramin A	Dalfopristin, Lincomycin, Pristinamycin IIA, Tiamulin, Virginiamycin M	15728891, 18838584, 21856108, 27006457	Target protection	ABC transporter, curated	
vga(A)LC_3_FN806791	Lincosamide, Pleuromutilin, Streptogramin A	Clindamycin, Dalfopristin, Pristinamycin IIA, Tiamulin, Virginiamycin M	20876620, 27006457	Target protection	ABC transporter, curated	
vga(A)LC_1_GQ891882	Lincosamide, Pleuromutilin, Streptogramin A	Clindamycin, Dalfopristin, Pristinamycin IIA, Tiamulin, Virginiamycin M	21549571, 27006457	Target protection	ABC transporter, curated	
vga(B)_1_U82085	Streptogramin A, Streptogramin B	Quinupristin+Dalfopristin	15728891, 27006457, 9427556	Target protection	ABC transporter, curated	
ere(A)_2_AF099140	Macrolide	Erythromycin	12654734	Enzymatic inactivation	Macrolide esterase, curated	
ere(A)_3_AF326209	Macrolide	Erythromycin	11557503	Enzymatic inactivation	Macrolide esterase, curated	
ere(A)_4_AF512546	Macrolide	Erythromycin	12183252	Enzymatic inactivation	Macrolide esterase, curated	
ere(A)_1_AY183453	Macrolide	Erythromycin	3899861	Enzymatic inactivation	Macrolide esterase, curated	
ere(B)_2_X03988	Macrolide	Azithromycin, Erythromycin	27786586, 3523438	Enzymatic inactivation	Macrolide esterase, curated	
vgb(A)_1_M20129	Streptogramin B	Pristinamycin IA, Quinupristin, Virginiamycin S	3149758	Enzymatic inactivation	Streptogramin B hydrolase, curated	
vgb(B)_1_AF015628	Streptogramin B	Pristinamycin IA, Quinupristin, Virginiamycin S	9661023	Enzymatic inactivation	Streptogramin B hydrolase, curated	
lnu(A)_1_M14039	Lincosamide	Lincomycin	3091456	Enzymatic inactivation	Lincosamide nucleotidyltransferase; Alternative name lin(A), curated	
lnu(B)_1_AJ238249	Lincosamide	Clindamycin, Lincomycin	10103201	Enzymatic inactivation	Lincosamide nucleotidyltransferase; Alternative name lin(B), curated	
lnu(C)_1_AY928180	Lincosamide	Lincomycin	15980341	Enzymatic inactivation	Lincosamide nucleotidyltransferase, curated	
lnu(D)_1_EF452177	Lincosamide	Lincomycin	18086844	Enzymatic inactivation	Lincosamide nucleotidyltransferase, curated	
lnu(F)_1_EU118119	Lincosamide	Lincomycin	Unpublished	Enzymatic inactivation	Lincosamide nucleotidyltransferase; Alternative name linF, curated	
lnu(F)_2_DQ836009	Lincosamide	Lincomycin	17005845	Enzymatic inactivation	Lincosamide nucleotidyltransferase; Alternative name linF, curated	
lnu(F)_3_AJ561197	Lincosamide	Lincomycin	Unpublished	Enzymatic inactivation	Lincosamide nucleotidyltransferase; Alternative name linF, curated	
vat(A)_1_L07778	Streptogramin A	Dalfopristin, Pristinamycin IIA, Virginiamycin M	8344533	Enzymatic inactivation	Streptogramin A acetyltransferase, curated	
vat(B)_1_U19459	Streptogramin A	Dalfopristin, Pristinamycin IIA, Virginiamycin M	Unpublished	Enzymatic inactivation	Streptogramin A acetyltransferase, curated	
vat(C)_1_AF015628	Streptogramin A	Dalfopristin, Pristinamycin IIA, Virginiamycin M	9661023	Enzymatic inactivation	Streptogramin A acetyltransferase, curated	
vat(D)_1_L12033	Streptogramin A	Dalfopristin, Pristinamycin IIA, Virginiamycin M	8257133	Enzymatic inactivation	Streptogramin A acetyltransferase; Alternative name sat(A), curated	
vat(E)_3_AF153312	Streptogramin A	Dalfopristin, Pristinamycin IIA, Virginiamycin M	10602747	Enzymatic inactivation	Streptogramin A acetyltransferase; Alternative name sat(G), curated	
vat(E)_5_AJ488494	Streptogramin A	Dalfopristin, Pristinamycin IIA, Virginiamycin M	14597008	Enzymatic inactivation	Streptogramin A acetyltransferase, curated	
vat(E)_7_AY043211	Streptogramin A	Dalfopristin, Pristinamycin IIA, Virginiamycin M	11557494	Enzymatic inactivation	Streptogramin A acetyltransferase; Alternative name vat(E-4), curated	
vat(E)_8_AY043209	Streptogramin A	Dalfopristin, Pristinamycin IIA, Virginiamycin M	11557494	Enzymatic inactivation	Streptogramin A acetyltransferase; Alternative name vat(E-5), curated	
vat(E)_9_AY043210	Streptogramin A	Dalfopristin, Pristinamycin IIA, Virginiamycin M	11557494	Enzymatic inactivation	Streptogramin A acetyltransferase; Alternative name vat(E-6), curated	
vat(E)_10_AY043212	Streptogramin A	Dalfopristin, Pristinamycin IIA, Virginiamycin M	11557494	Enzymatic inactivation	Streptogramin A acetyltransferase; Alternative name vat(E-7), curated	
vat(E)_11_AY043213	Streptogramin A	Dalfopristin, Pristinamycin IIA, Virginiamycin M	11557494	Enzymatic inactivation	Streptogramin A acetyltransferase; Alternative name vat(E-8), curated	
vat(F)_1_AF170730	Streptogramin A	Dalfopristin, Pristinamycin IIA, Virginiamycin M	10722489	Enzymatic inactivation	Streptogramin A acetyltransferase;, curated	
mph(A)_1_D16251	Macrolide	Azithromycin, Erythromycin, Spiramycin, Telithromycin	17302923, 8619599	Enzymatic inactivation	Macrolide phosphotransferase, curated	
mph(A)_2_U36578	Macrolide	Azithromycin, Erythromycin, Spiramycin, Telithromycin	Unpublished	Enzymatic inactivation	Macrolide phosphotransferase; Alternative name mph(K), curated	
mph(B)_1_D85892	Macrolide	Erythromycin, Spiramycin, Telithromycin	8900063	Enzymatic inactivation	Macrolide phosphotransferase, curated	
mph(C)_1_AB013298	Macrolide	Erythromycin, Spiramycin, Telithromycin	9809423	Enzymatic inactivation	Macrolide phosphotransferase; Alternative name mph(BM); Not functional in S. aureus, curated	
mph(C)_2_AF167161	Macrolide	Erythromycin, Spiramycin, Telithromycin	Unpublished	Enzymatic inactivation	Macrolide phosphotransferase; Alternative name mph(BM); Not functional in S. aureus, curated	
mph(C)_3_AM180068	Macrolide	Erythromycin, Spiramycin, Telithromycin	17005735	Enzymatic inactivation	Macrolide phosphotransferase; Not functional in S. aureus, curated	
mph(C)_4_AM397632	Macrolide	Erythromycin, Spiramycin, Telithromycin	17005735	Enzymatic inactivation	Macrolide phosphotransferase; Not functional in S. aureus, curated	
mph(C)_5_AM180067	Macrolide	Erythromycin, Spiramycin, Telithromycin	17005735	Enzymatic inactivation	Macrolide phosphotransferase; Not functional in S. aureus, curated	
mph(D)_1_AB048591	Macrolide	Azithromycin, Erythromycin	11184231	Enzymatic inactivation	Macrolide phosphotransferase; Partial sequence only, curated	
mph(E)_1_DQ839391	Macrolide	Erythromycin	17261525	Enzymatic inactivation	Macrolide phosphotransferase, curated	
mph(E)_2_JF769133	Macrolide	Erythromycin	21709086	Enzymatic inactivation	Macrolide phosphotransferase, curated	
vga(D)_1_GQ205627	Streptogramin A	Dalfopristin, Pristinamycin IIA, Virginiamycin M	20713681, 27006457	Target protection	ABC transporter, curated	
vga(C)_1_FN806792	Lincosamide, Pleuromutilin, Streptogramin A	Clindamycin, Dalfopristin, Pristinamycin IIA, Tiamulin, Virginiamycin M	20876620, 27006457	Target protection	ABC transporter, curated	
vga(E)_1_FR772051	Lincosamide, Pleuromutilin, Streptogramin A	Clindamycin, Dalfopristin, Pristinamycin IIA, Tiamulin, Virginiamycin M	21768510, 27006457	Target protection	ABC transporter, curated	
lsa(A)_1_AY225127	Lincosamide, Streptogramin A	Clindamycin, Dalfopristin, Lincomycin, Pristinamycin IIA, Virginiamycin M	12821484, 27006457	Target protection	ABC transporter, curated	
lsa(A)_3_AY737526	Lincosamide, Streptogramin A	Clindamycin, Dalfopristin, Lincomycin, Pristinamycin IIA, Virginiamycin M	15616272, 27006457	Target protection	ABC transporter, curated	
erm(W)_1_D14532	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	8163173	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
cfr_1_AM408573	Lincosamide, Oxazolidinone, Phenicol, Pleuromutilin, Streptogramin A	Chloramphenicol, Clindamycin, Dalfopristin, Florfenicol, Lincomycin, Linezolid, Pristinamycin IIA, Tiamulin, Virginiamycin M	17145796	Target modification	23S rRNA methylase, curated	
cfr_2_AJ879565	Lincosamide, Oxazolidinone, Phenicol, Pleuromutilin, Streptogramin A	Chloramphenicol, Clindamycin, Dalfopristin, Florfenicol, Lincomycin, Linezolid, Pristinamycin IIA, Tiamulin, Virginiamycin M	16091044	Target modification	23S rRNA methylase, curated	
erm(48)_1_LT223129					ongoing curation	
mph(F)_1_AM260957					ongoing curation	
erm(46)_1_KM679362					ongoing curation	
erm(B)_22_X52632	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	2163525	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
lnu(P)_1_FJ589781	Lincosamide	Lincomycin	19684139	Enzymatic inactivation	Lincosamide nucleotidyltransferase, curated	
erm(43)_1_HE650138	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	22733067	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
mef(C)_1_AB571865					ongoing curation	
erm(47)_1_KU612222	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	27494920	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
erm(B)_26_AF080450	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	Unpublished	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
mph(G)_1_AB571865					ongoing curation	
lnu(G)_1_KX470419	Lincosamide	Lincomycin	28039271	Enzymatic inactivation	Lincosamide nucleotidyltransferase; Alternative name linG, curated	
mef(A)_1_AJ971089	Macrolide	Azithromycin, Erythromycin	16304164, 27786586	Increased efflux	Alternative name mef(I), curated	
mef(A)_2_U83667	Macrolide	Azithromycin, Erythromycin	27786586, 9333056	Increased efflux	Alternative name mef(I), curated	
vga(A)LC_2_DQ823382	Lincosamide, Pleuromutilin, Streptogramin A	Clindamycin, Dalfopristin, Pristinamycin IIA, Tiamulin, Virginiamycin M	17015629, 27006457	Target protection	ABC transporter, curated	
erm(44)v_1_LN623525					ongoing curation	
ere(B)_1_A15097	Macrolide	Azithromycin, Erythromycin	27786586, Unpublished	Enzymatic inactivation	Macrolide esterase, curated	
erm(44)_1_HG796218	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	25092709	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
sal(A)_1_KC693025					ongoing curation	
erm(45)_1_LN680996					ongoing curation	
erm(33)_1_AJ579365	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	15471995	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
ere(A)_5_FN396877	Macrolide	Erythromycin	Unpublished	Enzymatic inactivation	Macrolide esterase, curated	
lnu(B)_2_JQ861959					ongoing curation	
erm(R)_1_M11276	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	4043733	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
erm(B)_23_X72021	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	7514148	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
lnu(E)_1_KF287643	Lincosamide	Lincomycin	24366733	Enzymatic inactivation	Lincosamide nucleotidyltransferase, curated	
vat(H)_1_GQ205627	Streptogramin A	Dalfopristin, Pristinamycin IIA, Virginiamycin M	20713681	Enzymatic inactivation	Streptogramin A acetyltransferase, curated	
erm(F)_1_M14730	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Pristinamycin IA, Quinupristin, Virginiamycin S	3023281	Target modification	23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, curated, lincomycin and clindamycin resistance may vary, patterns of spiramycin	
erm(37)_1_AL123456	Lincosamide, Macrolide, Streptogramin B	Clindamycin, Erythromycin, Lincomycin, Telithromycin	9634230	Target modification	23S rRNA methylase; Natural in Mycobacterium tubercolosis, curated	
vga(A)_3_JQ312422	Lincosamide, Pleuromutilin, Streptogramin A	Dalfopristin, Lincomycin, Pristinamycin IIA, Tiamulin, Virginiamycin M	15728891, 18838584, 23796922	Target protection	ABC transporter, curated	
vga(A)V_1_AF186237	Lincosamide, Pleuromutilin, Streptogramin A	Dalfopristin, Lincomycin, Pristinamycin IIA, Tiamulin, Virginiamycin M	15728891, 18838584, 23796922	Target protection	ABC transporter, curated	
vga(A)LC_4_JQ312423	Lincosamide, Pleuromutilin, Streptogramin A	Clindamycin, Dalfopristin, Pristinamycin IIA, Tiamulin, Virginiamycin M	15728891, 18838584, 23796922	Target protection	ABC transporter, curated	
tva(A)_1_ENA_SOX29786	Pleuromutilin	Tiamulin	29971045	Target protection	ABC transporter, curated	
mph(N)_1_KF648874	Macrolide	Erythromycin	24362420	Enzymatic inactivation	Macrolide phosphotransferase, curated	
mph(I)_1_KX531056	Macrolide	Spiramycin, Telithromycin	27929110	Enzymatic inactivation	Macrolide phosphotransferase, curated	
mph(J)_1_KY753883	Macrolide	Erythromycin, Tylosin	29259290	Enzymatic inactivation	Macrolide phosphotransferase, curated	
mdf(A)_1_Y08743	Aminoglycoside, Fluoroquinolone, Macrolide, Phenicol, Rifampicin, Tetracycline		9079913	Increased efflux	Chloramphenicol and Ciprofloxacin but it is unclear which level of resistance it confers, Kanamycin, Mdf(A) has broad spectrum specificity including Erythromycin, Rifampicin, Tetracycline, curated	
mdt(A)_1_X92946	Lincosamide, Macrolide, Streptogramin A, Streptogramin B, Tetracycline	Azithromycin, Erythromycin, Tetracycline	11257023	Increased efflux	Clindamycin, Doxycycline and Minocycline but with species-specific differences. No resistance phenotype observed  in laboratory strains of Staphylococcus aureus and Enterococcus faecalis, Lincomycin, Mdt(A) spectrum specificity includes also Spiramycin, Quinupristin+Dalfopristin, curated	
mre(A)_1_U92073	Macrolide	Azithromycin, Erythromycin, Spiramycin	9420045	Increased efflux	curated	
cmr_1_U43535	Macrolide, Tetracycline		9079937	Increased efflux	Eryhtomycin, Rifampicin and Tetracycline resistance when expressed in laboratory Escherichia coli, Tylosin, curated	
erm(U)_1_NG_047843					ongoing curation	
lsa(E)_1_JX560992	Lincosamide, Pleuromutilin, Streptogramin A	Clindamycin, Dalfopristin, Lincomycin, Pristinamycin IIA, Tiamulin, Virginiamycin M	23386262, 27006457	Target protection	ABC transporter, curated	
mph(K)_1_NC_000964	Macrolide	Spiramycin, Telithromycin	29317655	Enzymatic inactivation	Macrolide phosphotransferase, curated	
nimA_1_X71444					ongoing curation	
nimB_1_X71443					ongoing curation	
nimC_1_X76948					ongoing curation	
nimD_1_X76949					ongoing curation	
nimE_1_AJ244018					ongoing curation	
nimE_1_AM042593					ongoing curation	
nimF_1_AJ515145					ongoing curation	
nimH_1_KX576455					ongoing curation	
nimI_1_FJ940883					ongoing curation	
nimI_1_FJ940884					ongoing curation	
nimI_1_FJ940886					ongoing curation	
nimI_1_FJ940887					ongoing curation	
nimI_1_FJ940889					ongoing curation	
nimJ_1_NZ_JH815495					ongoing curation	
optrA_1_KP399637	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	25977397, 27006457	Target protection	ABC transporter, curated	
optrA_2_KT862781	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	26903276, 27006457	Target protection	ABC transporter, curated	
optrA_3_KT862780	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	26903276, 27006457	Target protection	ABC transporter, curated	
optrA_4_KT862777	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	26903276, 27006457	Target protection	ABC transporter, curated	
optrA_5_KT862783	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	26903276, 27006457	Target protection	ABC transporter, curated	
optrA_6_KT862784	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	26903276, 27006457	Target protection	ABC transporter, curated	
optrA_7_KT862775	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	26903276, 27006457	Target protection	ABC transporter, curated	
optrA_8_KT862782	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	26903276, 27006457	Target protection	ABC transporter, curated	
optrA_9_KT892063	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	26702919, 27006457	Target protection	ABC transporter, curated	
optrA_10_KT601170	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	26953332, 27006457	Target protection	ABC transporter, curated	
optrA_11_KX620934	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	27006457, Unpublished	Target protection	ABC transporter, curated	
optrA_12_KX620936	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	27006457, Unpublished	Target protection	ABC transporter, curated	
optrA_13_KX620939	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	27006457, Unpublished	Target protection	ABC transporter, curated	
optrA_14_KX620941	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	27006457, Unpublished	Target protection	ABC transporter, curated	
optrA_15_KX620942	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	27006457, Unpublished	Target protection	ABC transporter, curated	
optrA_16_AMBD01000029	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	27006457, Unpublished	Target protection	ABC transporter, curated	
optrA_17_ALZI01000051	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	27006457, Unpublished	Target protection	ABC transporter, curated	
optrA_18_ALMH01000001	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	27006457, Unpublished	Target protection	ABC transporter, curated	
optrA_19_ALMN01000021	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	27006457, Unpublished	Target protection	ABC transporter, curated	
optrA_20_ALMZ01000078	Oxazolidinone, Phenicol	Chloramphenicol, Florfenicol, Linezolid	27006457, Unpublished	Target protection	ABC transporter, curated	
cfr(B)_3_KR610408	Lincosamide, Oxazolidinone, Phenicol, Pleuromutilin, Streptogramin A	Chloramphenicol, Clindamycin, Dalfopristin, Florfenicol, Lincomycin, Linezolid, Pristinamycin IIA, Tiamulin, Virginiamycin M	Unpublished	Target modification	23S rRNA methylase, curated	
